0,15,3198,3626,3314,2495,902,113,0,0,38,306,908,2025,3136,3624,3228,3196,2850,1411,90,260,529,703,720,686,449,276,270,1587,2974,3259,2698,1516,157,216,1490,2934,3697,3757,3603,2470,1166,297,380,1866,3094,1737,849,298,1436,3198,3825,3825,3825,3825,3600,2527,902,369,1115,1965,992,467,575,2429,3589,3825,3825,3825,3825,3825,3453,1975,613,611,1001,467,219,609,2525,3585,3793,3793,3793,3793,3793,3599,2583,813,381,500,6,3,594,2472,3404,3577,3577,3577,3577,3577,3461,2744,937,294,221,0,0,619,2542,3414,3570,3570,3570,3570,3570,3470,2842,969,257,221,0,0,673,2709,3581,3737,3737,3737,3737,3737,3604,2853,938,228,221,109,127,788,2797,3669,3825,3825,3825,3825,3825,3675,2859,938,228,221,219,255,874,2797,3669,3825,3825,3825,3825,3825,3691,2939,966,194,146,219,255,874,2797,3669,3825,3825,3825,3825,3825,3725,3063,856,26,0,214,249,843,2722,3652,3825,3825,3825,3825,3825,3723,3049,809,2,5,299,159,642,2557,3617,3825,3825,3825,3825,3825,3660,2750,702,214,464,869,423,468,2080,3472,3825,3825,3825,3825,3825,3501,2292,564,404,884,1572,782,135,712,2428,3530,3808,3825,3707,3607,2903,1191,349,1000,1874,2890,1843,370,42,906,2393,3533,3659,3489,2958,1788,350,289,1782,3088,3229,2658,1198,170,191,414,826,1302,1068,610,368,423,1831,3058,3259,3202,3731,3297,2219,1147,509,98,45,275,633,1233,2661,3490,3763,3231
1,16,2856,4080,4080,4080,4080,4080,4080,4080,4074,3224,1791,544,246,48,0,2856,4080,4080,4080,4080,4077,4014,3820,3506,2468,1127,60,0,0,0,2302,3255,3167,3096,3070,3032,2725,1790,791,292,114,0,0,0,0,458,565,349,177,113,49,0,0,0,0,0,0,0,0,0,1171,1666,1666,1666,1666,1666,1666,1666,1666,1281,609,48,0,0,0,2706,3864,3864,3864,3864,3864,3864,3864,3864,2940,1394,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0,2856,4080,4080,4080,4080,4080,4080,4080,4080,3092,1460,105,0,0,0
2,3,649,751,737,697,221,0,0,0,0,0,168,468,647,743,655,616,443,144,0,19,81,117,117,117,99,51,2,0,309,621,381,179,0,8,229,587,765,765,765,677,417,75,11,176,385,219,103,15,107,579,765,765,765,765,765,683,334,74,64,139,219,103,41,241,661,765,765,765,765,765,715,485,128,0,0,345,162,137,519,721,765,765,765,765,765,715,485,128,0,0,581,585,586,750,765,765,765,765,765,765,681,323,70,0,0,649,765,765,765,765,765,765,765,765,765,564,78,9,160,348,649,765,765,765,765,765,765,765,765,555,171,2,0,315,631,649,765,765,765,765,765,765,765,351,43,0,0,338,637,655,649,765,765,765,765,732,569,114,0,22,152,539,725,765,655,649,765,765,757,655,359,34,25,125,341,663,765,765,765,655,649,765,697,517,159,13,107,325,669,765,765,765,765,765,655,649,650,395,25,0,153,501,765,765,765,765,765,765,765,655,538,339,81,16,277,549,744,765,765,765,765,765,765,765,655,438,206,26,161,612,765,765,765,765,765,765,765,765,765,655,116,54,41,241,661,765,765,765,765,765,765,765,765,765,655,0,0,6,38,107,123,123,123,123,123,123,123,123,123,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,458,510,498,340,0,0,0,0,0,22,218,411,498,510,462,458,454,218,0,6,70,78,78,78,72,8,0,214,452,462,458,154,0,38,166,470,510,510,510,468,109,20,0,150,462,458,154,0,150,510,510,510,510,510,494,365,105,0,150,462,458,154,0,150,510,510,510,510,510,510,510,154,0,150,462,458,360,294,358,510,510,510,510,510,510,510,154,0,150,462,458,510,510,510,510,510,510,510,510,476,198,48,0,150,462,458,510,510,510,510,510,510,510,390,96,10,0,200,434,462,458,510,510,510,488,305,124,54,38,0,0,314,482,510,462,458,510,510,510,486,280,77,0,0,0,0,0,254,510,462,458,510,510,510,510,510,510,510,441,258,74,14,0,143,438,458,510,510,510,510,510,510,510,510,510,510,154,0,60,184,458,510,510,510,510,510,510,510,510,510,510,210,39,0,0,268,298,350,435,510,510,510,510,510,510,510,332,127,0,0,0,0,125,330,510,510,510,510,510,510,510,332,127,0,0,0,0,47,217,510,510,510,510,510,510,510,221,47,0,0,336,114,0,95,340,490,510,510,510,474,172,40,0,110,338,458,154,0,12,44,78,231,296,232,74,8,0,0,150,462,458,490,244,0,0,0,9,13,9,0,0,167,361,490,462
4,3,648,743,743,743,743,743,743,743,658,256,0,0,450,743,654,667,765,765,765,765,765,765,745,334,33,0,0,465,765,673,667,765,765,765,765,765,706,417,78,0,0,0,465,765,673,667,765,765,765,765,704,479,80,95,134,9,0,465,765,673,667,765,765,765,765,565,176,0,313,407,25,0,465,765,673,667,765,765,753,607,276,79,251,597,505,25,0,465,765,673,667,765,765,733,340,28,252,716,762,505,25,0,465,765,673,667,765,630,289,67,111,459,765,765,505,25,0,465,765,673,667,765,597,179,21,427,691,765,765,505,25,0,465,765,673,667,537,214,22,327,679,765,765,765,505,25,0,465,765,673,570,238,36,211,683,765,765,765,765,505,25,0,465,765,673,182,61,134,487,667,667,667,667,667,452,25,0,399,667,588,0,0,0,52,175,175,175,175,175,158,17,0,87,175,158,184,137,105,105,105,105,105,105,105,56,0,0,70,105,91,602,604,567,567,567,567,567,567,567,353,13,0,354,567,496,667,765,765,765,765,765,765,765,765,505,25,0,465,765,673,667,765,765,765,765,765,765,765,765,505,25,0,465,765,673,667,765,765,765,765,765,765,765,765,505,25,0,465,765,673,650,745,745,745,745,745,745,745,745,494,25,0,452,745,655
5,9,1944,1388,499,0,0,0,0,0,0,0,0,0,0,926,1962,1963,1257,342,11,200,295,313,313,313,313,313,313,313,1121,1981,1963,1177,254,90,1341,1917,2037,2037,2037,2037,2037,2037,2037,2139,1981,1963,953,0,110,1620,2219,2295,2295,2295,2295,2295,2295,2295,2295,1981,1963,953,53,338,1855,2295,2295,2295,2295,2295,2295,2295,2295,2295,1981,1780,841,172,710,1961,2278,2263,2263,2263,2277,2295,2295,2295,2295,1981,1603,754,206,765,1414,1182,636,412,592,889,1452,2212,2283,2292,1981,1315,618,32,100,99,47,0,0,0,22,97,297,994,1745,1981,899,423,14,90,354,902,1329,1330,835,389,42,0,94,979,1909,1090,666,440,953,2009,2295,2295,2295,2295,1882,1048,75,0,454,994,1817,2072,2122,2295,2295,2295,2295,2295,2295,2295,1922,618,149,317,693,1963,2295,2295,2295,2295,2295,2295,2295,2295,2295,2085,1256,367,83,181,1963,2295,2295,2295,2295,2295,2295,2295,2295,2295,2095,1301,383,0,0,1607,1881,2011,2289,2295,2295,2295,2295,2295,2295,2095,1301,383,54,118,273,317,832,1999,2239,2295,2295,2295,2295,2295,2044,1065,298,326,712,136,64,367,1276,2081,2295,2295,2295,2295,2177,1669,415,88,512,1120,886,419,60,297,1275,1834,2168,2195,2057,1462,703,53,167,982,1778,1840,1154,298,8,132,374,592,602,392,191,77,90,1069,1840,1981,1946,2219,1689,684,398,116,13,13,210,533,885,1592,2050,2257,1963
6,2,400,466,466,451,280,109,0,0,0,0,0,0,308,466,404,438,510,382,118,73,28,0,0,0,0,0,0,82,276,442,438,418,239,9,122,234,306,306,306,306,276,163,51,80,176,438,290,95,22,293,443,510,510,510,510,482,378,123,0,0,374,176,0,30,406,510,510,510,510,510,510,510,268,146,126,219,103,10,60,412,510,510,510,510,510,510,510,510,510,442,219,103,81,262,456,510,510,510,510,510,510,510,510,510,442,41,19,82,257,292,191,94,94,94,94,94,94,370,510,442,0,0,28,87,87,41,0,0,0,0,0,0,116,308,442,0,0,0,14,202,254,254,254,254,254,204,16,0,100,220,0,0,28,111,423,510,510,510,510,510,442,194,56,0,0,0,0,98,313,467,510,510,510,510,510,510,510,170,0,0,5,2,164,504,508,510,510,510,510,510,510,510,170,0,0,190,89,94,302,465,510,510,510,510,510,510,510,170,0,0,219,103,24,101,421,510,510,510,510,510,510,510,170,0,0,338,159,0,30,406,510,510,510,510,510,454,250,76,55,120,438,324,132,18,246,310,362,510,437,364,250,20,66,200,307,438,510,380,112,24,0,102,390,248,105,11,55,228,392,442,404,470,470,440,94,0,0,0,0,0,45,218,391,470,406
7,8,1768,600,0,0,0,0,0,0,0,0,0,0,0,584,1784,152,48,0,0,0,0,0,0,0,0,0,0,0,48,152,1584,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,536,0,520,1600,1832,2040,2040,2040,2040,2040,2040,2040,2040,1880,544,112,824,1768,1848,1832,2040,2040,2040,2040,2040,2040,2040,1576,440,48,0,1016,2040,1848,1832,2040,2040,2040,2040,2040,2040,2040,1432,0,0,992,1736,2040,1848,1832,2040,2040,2040,2040,2040,2040,1368,488,120,1200,1824,2040,2040,1848,1832,2040,2040,2040,2040,2040,2040,1016,0,184,1832,2040,2040,2040,1848,1832,2040,2040,2040,2040,2040,1264,456,328,1200,1944,2040,2040,2040,1848,1832,2040,2040,2040,2040,2040,616,0,600,2040,2040,2040,2040,2040,1848,1832,2040,2040,2040,1952,1216,344,448,1240,2040,2040,2040,2040,2040,1848,1832,2040,2040,2040,1848,200,0,1016,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,2040,1848,200,0,1016,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,2040,1848,200,408,1312,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,1896,1408,152,1416,2040,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,1432,0,0,1416,2040,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,1432,0,0,1416,2040,2040,2040,2040,2040,2040,2040,1848,1832,2040,2040,1432,0,0,1416,2040,2040,2040,2040,2040,2040,2040,1848,1784,1992,1992,1400,0,0,1384,1992,1992,1992,1992,1992,1992,1992,1800
8,4,842,968,929,759,494,50,0,0,0,46,489,756,928,968,849,888,797,372,91,46,4,0,0,0,4,46,90,368,794,896,888,742,258,11,264,736,782,782,782,740,347,141,58,349,767,794,394,66,231,808,1010,1020,1020,1020,1010,884,356,43,188,544,738,294,41,376,968,1020,1020,1020,1020,1020,970,384,43,203,577,888,386,36,349,951,1020,1020,1020,1020,1020,970,384,43,251,683,888,433,54,68,474,948,1020,1020,1020,951,604,277,95,299,683,888,854,498,35,41,370,624,660,626,376,67,39,329,724,856,888,1004,762,239,0,14,72,87,73,15,0,192,546,876,896,782,740,490,199,22,248,359,381,360,251,24,176,254,494,789,481,363,156,150,517,820,962,992,964,823,521,154,14,251,683,458,154,205,705,1009,1020,1020,1020,1020,1020,1009,709,208,113,326,304,102,374,976,1020,1020,1020,1020,1020,1020,1020,979,387,2,0,0,0,374,976,1020,1020,1020,1020,1020,1020,1020,1014,565,110,0,102,48,277,777,995,1020,1020,1020,1020,1020,996,878,405,37,0,301,129,18,255,822,926,951,1020,951,926,894,670,251,63,163,759,390,76,132,528,657,715,904,799,676,607,263,69,340,766,888,923,511,77,83,461,499,567,661,498,85,48,249,590,896,848,976,937,633,243,243,178,0,176,243,243,281,685,976,856
9,7,1715,1785,1725,949,383,235,102,117,235,235,600,1527,1735,1785,1729,1715,1551,418,45,0,150,234,234,234,150,57,256,675,1748,1729,1715,345,32,0,339,1209,1629,1629,1586,1116,276,35,326,1253,1729,1311,134,0,532,1449,1785,1785,1785,1735,1619,1242,432,18,258,1638,390,39,0,1365,1785,1785,1785,1785,1785,1757,1656,1182,0,83,902,0,0,183,1417,1785,1785,1785,1785,1785,1785,1774,1353,0,23,247,0,0,211,1425,1785,1785,1785,1785,1785,1785,1785,1379,0,23,241,0,0,173,1414,1785,1785,1785,1785,1785,1785,1771,1343,0,0,0,1090,115,0,495,1435,1785,1785,1785,1785,1785,1505,654,0,0,0,1470,150,0,97,393,1315,1785,1785,1785,1647,984,0,0,0,0,1630,1340,329,30,60,87,727,1346,867,56,35,120,84,0,0,1715,1742,1396,546,306,114,0,0,44,174,672,1392,764,0,0,1715,1785,1778,1777,1777,954,474,474,732,1325,1779,1457,292,23,239,1715,1785,1785,1785,1785,1785,1785,1785,1785,1785,1775,1354,0,50,553,1386,963,907,1575,1785,1785,1785,1785,1785,1785,1669,1078,0,128,1375,1133,116,0,755,1540,1785,1785,1785,1785,1744,1313,365,18,264,1729,1551,159,0,128,1160,1716,1785,1785,1719,1187,282,0,221,1413,1729,1715,1135,180,0,187,292,307,307,281,156,0,235,1165,1785,1729,1715,1752,1689,390,0,0,0,0,0,0,495,1696,1761,1785,1729
A,4,1020,1020,1020,1020,1020,924,0,0,0,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,155,0,0,0,720,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,668,0,87,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,1020,0,0,1020,1020,1020,1020,1020,1020,1020,1020,1020,209,0,600,1020,90,0,882,1020,1020,1020,1020,1020,1020,1020,1020,0,0,1020,1020,736,0,141,1020,1020,1020,1020,1020,1020,1020,1020,0,0,1020,1020,1020,0,0,1020,1020,1020,1020,1020,1020,1020,276,0,494,1020,1020,1020,0,0,1020,1020,1020,1020,1020,1020,1020,0,0,628,1020,1020,1020,510,0,195,1020,1020,1020,1020,1020,1020,0,0,1020,1020,1020,1020,764,0,0,1020,1020,1020,1020,1020,244,0,0,1020,1020,1020,1020,1020,0,0,632,1020,1020,1020,1020,0,0,0,996,996,996,996,996,0,0,0,1020,1020,1020,872,0,0,0,0,0,0,0,0,0,0,0,1020,1020,1020,230,0,0,556,556,556,556,556,556,556,0,0,740,1020,1020,0,0,621,1020,1020,1020,1020,1020,1020,1020,0,0,94,1020,980,0,0,1020,1020,1020,1020,1020,1020,1020,1020,548,0,0,1020,338,0,0,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,762,0,0,306,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,101,0,0,952,1020,1020,1020,1020,1020,1020,1020,1020,1020,884,0,0
E,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,195,195,195,195,195,195,195,195,195,195,195,195,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,135,135,135,135,135,135,135,135,135,135,135,135,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,0,0,205,205,205,205,205,205,205,205,205,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,2,490,510,510,460,446,162,0,0,0,0,66,273,456,510,494,490,510,344,72,0,0,112,198,198,126,0,0,50,328,494,490,510,86,0,116,272,432,510,510,446,284,129,0,31,331,490,90,6,0,339,501,510,510,510,510,503,377,0,2,21,490,50,0,230,446,510,510,510,510,510,510,441,174,0,0,380,39,0,390,510,510,510,510,510,510,510,444,226,226,220,72,7,0,390,510,510,510,510,510,510,510,510,510,510,494,0,0,0,390,510,510,510,510,510,510,510,510,510,510,494,0,0,211,450,510,510,510,510,510,510,510,510,510,510,494,0,0,211,450,510,510,510,382,254,254,254,254,254,254,246,0,0,211,450,510,510,510,254,0,0,0,0,0,0,0,0,0,206,448,510,510,510,510,510,510,510,510,426,0,0,70,7,0,390,510,510,510,510,510,510,510,510,426,0,0,379,39,0,390,510,510,510,510,510,510,510,510,426,0,0,490,50,0,231,446,510,510,510,510,510,510,463,252,0,0,490,68,3,0,326,494,510,510,510,510,498,362,0,0,0,490,357,57,0,0,214,338,424,436,338,238,0,0,0,0,490,510,340,70,0,0,0,100,114,0,0,68,256,0,0,490,510,510,458,134,0,0,0,0,0,130,456,462,200,0
K,1,214,22,184,247,255,255,255,255,255,255,245,172,0,23,247,0,0,0,195,255,255,255,255,255,219,109,0,16,114,247,0,0,0,195,255,255,255,255,183,56,0,0,41,255,247,0,0,0,195,255,255,255,255,145,0,0,52,236,255,247,0,0,0,195,255,255,229,104,0,16,107,255,255,255,247,0,0,0,195,255,255,111,0,0,91,255,255,255,255,247,0,0,0,195,255,141,33,0,77,206,255,255,255,255,247,0,0,0,195,83,2,0,123,250,255,255,255,255,255,247,0,0,0,149,59,0,0,97,220,255,255,255,255,255,247,0,0,0,0,0,0,0,0,109,255,255,255,255,255,247,0,0,0,0,134,193,84,0,26,131,255,255,255,255,247,0,0,0,195,255,255,114,2,0,89,250,255,255,255,247,0,0,0,195,255,255,255,127,0,0,75,255,255,255,247,0,0,0,195,255,255,255,197,79,0,34,147,255,255,247,0,0,0,195,255,255,255,255,145,0,0,57,255,255,247,0,0,0,195,255,255,255,255,255,170,14,0,38,236,247,0,0,0,195,255,255,255,255,255,255,179,0,0,23,247,0,0,0,195,255,255,255,255,255,255,224,118,0,9,98,212,22,183,247,255,255,255,255,255,255,255,197,0,0,0
N,4,0,0,656,988,988,988,988,988,988,988,988,988,988,792,0,0,0,56,580,1020,1020,1020,1020,1020,1020,1020,1020,1020,820,0,0,0,0,68,484,1020,1020,1020,1020,1020,1020,1020,1020,820,0,0,0,0,0,404,1020,1020,1020,1020,1020,1020,1020,1020,820,0,0,0,512,360,96,452,1020,1020,1020,1020,1020,1020,1020,820,0,0,0,676,476,0,268,1020,1020,1020,1020,1020,1020,1020,820,0,0,0,676,832,400,92,436,1020,1020,1020,1020,1020,1020,820,0,0,0,676,1020,856,448,52,404,932,1020,1020,1020,1020,820,0,0,0,676,1020,1020,748,0,0,876,1020,1020,1020,1020,820,0,0,0,676,1020,1020,884,440,0,436,880,1020,1020,1020,820,0,0,0,676,1020,1020,1020,884,0,0,408,832,1020,1020,820,0,0,0,676,1020,1020,1020,936,396,56,0,604,1020,1020,820,0,0,0,676,1020,1020,1020,1020,1020,436,92,400,832,1020,820,0,0,0,676,1020,1020,1020,1020,1020,1020,276,0,332,820,820,0,0,0,676,1020,1020,1020,1020,1020,1020,452,96,0,256,628,0,0,0,676,1020,1020,1020,1020,1020,1020,1020,520,96,0,0,0,0,0,676,1020,1020,1020,1020,1020,1020,1020,1020,548,0,0,0,0,0,676,1020,1020,1020,1020,1020,1020,1020,1020,584,52,0,0,0,0,660,996,996,996,996,996,996,996,996,996,668,0,0
R,3,0,0,0,0,0,0,0,0,95,547,669,704,765,765,725,0,0,132,274,297,245,43,0,0,0,0,177,547,765,725,0,0,338,705,765,717,539,501,501,441,134,0,70,343,725,0,0,338,705,765,765,765,765,765,757,369,0,0,121,725,0,0,338,705,765,765,765,765,765,765,723,410,0,121,725,0,0,338,705,765,765,765,765,765,765,639,285,0,121,725,0,0,338,705,765,765,765,765,765,765,497,138,0,121,725,0,0,338,705,765,765,765,765,765,765,385,0,0,121,725,0,0,258,539,585,585,585,585,585,231,0,67,337,765,725,0,0,0,0,0,0,0,0,0,0,0,291,765,765,725,0,0,256,533,579,579,579,579,164,0,0,69,343,765,725,0,0,338,705,765,765,765,765,765,765,385,0,0,121,725,0,0,338,705,765,765,765,765,765,765,473,78,0,121,725,0,0,338,705,765,765,765,765,765,765,689,274,0,121,725,0,0,338,705,765,765,765,765,765,765,750,434,0,121,725,0,0,338,705,765,765,765,765,765,765,765,471,0,112,667,0,0,338,705,765,765,765,765,765,765,765,471,0,0,0,0,0,338,705,765,765,765,765,765,765,765,471,0,0,0,212,22,521,757,765,765,765,765,765,765,765,471,0,0,0
